Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2009;2010;2011;2012;2013
Slovenia; World;Export;  All Products;Trade Value (US$ Thousand);22405415,27;24434752,22;28984136,41;27080021,57;28628740,46
Slovenia;Afghanistan;Export;  All Products;Trade Value (US$ Thousand);282,775;1978,7;1147,133;2639,614;1932,062
Slovenia;Albania;Export;  All Products;Trade Value (US$ Thousand);55789,769;53288,727;53629,799;48389;47210,794
Slovenia;Algeria;Export;  All Products;Trade Value (US$ Thousand);122662,84;124396,279;170395,218;277111,083;215139,903
Slovenia;Andorra;Export;  All Products;Trade Value (US$ Thousand);543,456;551,553;436,635;406,934;314,02
Slovenia;Angola;Export;  All Products;Trade Value (US$ Thousand);1314,761;500,813;67,865;926,68;2941,694
Slovenia;Anguila;Export;  All Products;Trade Value (US$ Thousand);2,087;0,83;;;
Slovenia;Antigua and Barbuda;Export;  All Products;Trade Value (US$ Thousand);0,716;7,384;;2,518;5,716
Slovenia;Argentina;Export;  All Products;Trade Value (US$ Thousand);4492,375;7452,584;28006,254;32312,29;32333,253
Slovenia;Armenia;Export;  All Products;Trade Value (US$ Thousand);11516,46;6611,405;7493,418;6432,985;8626,037
Slovenia;Aruba;Export;  All Products;Trade Value (US$ Thousand);0,046;;343,939;114,597;25,209
Slovenia;Australia;Export;  All Products;Trade Value (US$ Thousand);29426,119;34835,857;47835,578;80250,452;103182,4
Slovenia;Austria;Export;  All Products;Trade Value (US$ Thousand);1746134,618;1974694,665;2245197,879;2225747,205;2480742,66
Slovenia;Azerbaijan;Export;  All Products;Trade Value (US$ Thousand);9111,09;8510,701;10920,054;12886,394;17575,318
Slovenia;Bahamas, The;Export;  All Products;Trade Value (US$ Thousand);294,828;5,539;169,018;431,827;587,938
Slovenia;Bahrain;Export;  All Products;Trade Value (US$ Thousand);1016,596;961,355;1323,394;1974,538;2303,813
Slovenia;Bangladesh;Export;  All Products;Trade Value (US$ Thousand);1202,218;789,277;1127,075;1241,598;2029,417
Slovenia;Barbados;Export;  All Products;Trade Value (US$ Thousand);0,144;24,091;45,486;219,181;3530,816
Slovenia;Belarus;Export;  All Products;Trade Value (US$ Thousand);43851,889;61069,749;56102,083;63173,397;81027,347
Slovenia;Belgium;Export;  All Products;Trade Value (US$ Thousand);248400,873;276794,336;334436,109;296397,506;313847,705
Slovenia;Belize;Export;  All Products;Trade Value (US$ Thousand);280,019;769,096;1097,684;549,953;370,736
Slovenia;Benin;Export;  All Products;Trade Value (US$ Thousand);0,993;5,615;364,781;192,6;42,645
Slovenia;Bermuda;Export;  All Products;Trade Value (US$ Thousand);36,137;160,523;284,854;44,469;44,3
Slovenia;Bhutan;Export;  All Products;Trade Value (US$ Thousand);;8,525;;;
Slovenia;Bolivia;Export;  All Products;Trade Value (US$ Thousand);360,49;147,206;158,628;198,413;407,916
Slovenia;Bonaire;Export;  All Products;Trade Value (US$ Thousand);;;;;21,789
Slovenia;Bosnia and Herzegovina;Export;  All Products;Trade Value (US$ Thousand);694564,26;707695,044;795998,351;749605,668;741013,01
Slovenia;Botswana;Export;  All Products;Trade Value (US$ Thousand);1,867;94,244;;0,352;168,522
Slovenia;Bouvet Island;Export;  All Products;Trade Value (US$ Thousand);;84,037;;;
Slovenia;Brazil;Export;  All Products;Trade Value (US$ Thousand);34091,575;46796,382;52335,347;53697,063;56766,179
Slovenia;British Virgin Islands;Export;  All Products;Trade Value (US$ Thousand);348,622;58,215;55,083;1399,733;
Slovenia;Brunei;Export;  All Products;Trade Value (US$ Thousand);;13,925;5,777;;110,004
Slovenia;Bulgaria;Export;  All Products;Trade Value (US$ Thousand);172156,654;181540,329;241989,878;215944,148;199485,54
Slovenia;Bunkers;Export;  All Products;Trade Value (US$ Thousand);;;2483,38;2060,651;4117,84
Slovenia;Burkina Faso;Export;  All Products;Trade Value (US$ Thousand);13,207;30,003;30,59;21,023;120,775
Slovenia;Burundi;Export;  All Products;Trade Value (US$ Thousand);92,406;141,629;353,37;435,522;237,319
Slovenia;Cambodia;Export;  All Products;Trade Value (US$ Thousand);273,397;884,557;947,786;516,505;916,671
Slovenia;Cameroon;Export;  All Products;Trade Value (US$ Thousand);279,68;27,283;296,558;1729,051;579,209
Slovenia;Canada;Export;  All Products;Trade Value (US$ Thousand);56714,089;62317,066;78241,911;91278,883;80254,625
Slovenia;Cape Verde;Export;  All Products;Trade Value (US$ Thousand);;;41,451;380,847;319,911
Slovenia;Cayman Islands;Export;  All Products;Trade Value (US$ Thousand);11,958;;5053,759;38,179;
Slovenia;Central African Republic;Export;  All Products;Trade Value (US$ Thousand);;;;;55,799
Slovenia;Chad;Export;  All Products;Trade Value (US$ Thousand);;;;;19,547
Slovenia;Chile;Export;  All Products;Trade Value (US$ Thousand);5131,076;7922,343;9113,316;9944,322;15570,31
Slovenia;China;Export;  All Products;Trade Value (US$ Thousand);90450,208;119844,838;126810,6;174001,7;168727,536
Slovenia;Colombia;Export;  All Products;Trade Value (US$ Thousand);6597,144;4634,35;6451,597;8808,418;15936,441
Slovenia;Congo, Dem. Rep.;Export;  All Products;Trade Value (US$ Thousand);142,885;42,027;;2800,019;12,354
Slovenia;Congo, Rep.;Export;  All Products;Trade Value (US$ Thousand);15,655;;2,532;45,612;7023,64
