Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2009;2010;2011;2012;2013
Slovenia; World;Import;  All Products;Trade Value (US$ Thousand);23901831,22;26591707,91;31236842,61;28382568,38;29375441,11
Slovenia;Afghanistan;Import;  All Products;Trade Value (US$ Thousand);30,869;23,109;50,895;27,575;54,015
Slovenia;Albania;Import;  All Products;Trade Value (US$ Thousand);1544,266;2603,847;2380,053;1923,221;2398,614
Slovenia;Algeria;Import;  All Products;Trade Value (US$ Thousand);90442,143;139239,215;114902,7;99879,814;29925,363
Slovenia;American Samoa;Import;  All Products;Trade Value (US$ Thousand);14,62;13,374;15,874;16,899;29,339
Slovenia;Andorra;Import;  All Products;Trade Value (US$ Thousand);322,021;190,481;103,844;60,109;20,574
Slovenia;Angola;Import;  All Products;Trade Value (US$ Thousand);;;0,075;0,099;0,461
Slovenia;Anguila;Import;  All Products;Trade Value (US$ Thousand);3,52;30,279;2,16;1,111;
Slovenia;Antarctica;Import;  All Products;Trade Value (US$ Thousand);8,188;0,83;3,024;83,362;0,007
Slovenia;Antigua and Barbuda;Import;  All Products;Trade Value (US$ Thousand);29,121;13,348;1,825;3,9;11,036
Slovenia;Argentina;Import;  All Products;Trade Value (US$ Thousand);126676,377;76944,568;86952,637;70684,317;67105,738
Slovenia;Armenia;Import;  All Products;Trade Value (US$ Thousand);306,992;792,046;1256,714;701,987;2028,509
Slovenia;Aruba;Import;  All Products;Trade Value (US$ Thousand);111,749;176,15;175,065;140,992;111,511
Slovenia;Australia;Import;  All Products;Trade Value (US$ Thousand);10318,037;13194,47;14584,855;8364,785;30633,438
Slovenia;Austria;Import;  All Products;Trade Value (US$ Thousand);1974440,34;2090613,991;2445130,019;2298130,754;2551030,832
Slovenia;Azerbaijan;Import;  All Products;Trade Value (US$ Thousand);20,886;5,563;16,865;5,934;10,408
Slovenia;Bahamas, The;Import;  All Products;Trade Value (US$ Thousand);353,274;174,83;118,716;322,222;259,042
Slovenia;Bahrain;Import;  All Products;Trade Value (US$ Thousand);209,676;182,771;826,171;65906,456;292,842
Slovenia;Bangladesh;Import;  All Products;Trade Value (US$ Thousand);42706,722;46564,312;68408,483;60117,055;76247,031
Slovenia;Barbados;Import;  All Products;Trade Value (US$ Thousand);185,662;239,064;178,902;175,95;9,628
Slovenia;Belarus;Import;  All Products;Trade Value (US$ Thousand);9659,626;13413,257;14174,482;16002,026;14162,786
Slovenia;Belgium;Import;  All Products;Trade Value (US$ Thousand);365998,031;385414,228;461203,481;406579,793;415701,038
Slovenia;Belize;Import;  All Products;Trade Value (US$ Thousand);4,879;18,44;26,943;0,19;20,387
Slovenia;Benin;Import;  All Products;Trade Value (US$ Thousand);680,931;123,24;264,524;95,387;1,028
Slovenia;Bermuda;Import;  All Products;Trade Value (US$ Thousand);;0,383;5,954;2,392;0,798
Slovenia;Bhutan;Import;  All Products;Trade Value (US$ Thousand);0,487;0,016;0,018;22,158;0,207
Slovenia;Bolivia;Import;  All Products;Trade Value (US$ Thousand);262,737;164,237;575,786;344,693;649,224
Slovenia;Bosnia and Herzegovina;Import;  All Products;Trade Value (US$ Thousand);331814,647;440128,771;526568,607;474329,966;473934,067
Slovenia;Botswana;Import;  All Products;Trade Value (US$ Thousand);46,316;335,321;82,768;;0,103
Slovenia;Brazil;Import;  All Products;Trade Value (US$ Thousand);111243,284;122966,906;205302,372;158030,791;141417,173
Slovenia;British Indian Ocean Ter.;Import;  All Products;Trade Value (US$ Thousand);15,748;4,278;85,621;11,574;1,4
Slovenia;British Virgin Islands;Import;  All Products;Trade Value (US$ Thousand);621,112;1187,446;317,537;155,871;238,043
Slovenia;Brunei;Import;  All Products;Trade Value (US$ Thousand);2,069;20,162;;2,278;258,88
Slovenia;Bulgaria;Import;  All Products;Trade Value (US$ Thousand);68172,864;158996,266;189718,946;166305,178;128745,334
Slovenia;Burkina Faso;Import;  All Products;Trade Value (US$ Thousand);246,421;435,115;668,436;401,787;296,689
Slovenia;Burundi;Import;  All Products;Trade Value (US$ Thousand);8,853;16,684;2,26;0,085;0,027
Slovenia;Cambodia;Import;  All Products;Trade Value (US$ Thousand);5816,041;5833,19;7538,528;7140,95;16049,511
Slovenia;Cameroon;Import;  All Products;Trade Value (US$ Thousand);5728,215;9877,396;10657,901;10412,592;8751,216
Slovenia;Canada;Import;  All Products;Trade Value (US$ Thousand);56221,496;27778,672;50050,473;147282,866;160895,449
Slovenia;Cape Verde;Import;  All Products;Trade Value (US$ Thousand);;;;0,922;
Slovenia;Cayman Islands;Import;  All Products;Trade Value (US$ Thousand);;;;424;13,636
Slovenia;Central African Republic;Import;  All Products;Trade Value (US$ Thousand);88,149;33,081;33,025;7,24;3,722
Slovenia;Chad;Import;  All Products;Trade Value (US$ Thousand);185,07;59,204;57,915;0,751;
Slovenia;Chile;Import;  All Products;Trade Value (US$ Thousand);15422,618;21886,712;28555,848;24745,578;23788,142
Slovenia;China;Import;  All Products;Trade Value (US$ Thousand);1192534,675;1476091,346;1601294,289;1546508,572;1463270,447
Slovenia;Christmas Island;Import;  All Products;Trade Value (US$ Thousand);0,201;;;;
Slovenia;Cocos (Keeling) Islands;Import;  All Products;Trade Value (US$ Thousand);;3,026;0,597;4,761;1,623
Slovenia;Colombia;Import;  All Products;Trade Value (US$ Thousand);9793,869;8097,046;6204,662;6139,651;4631,176
Slovenia;Comoros;Import;  All Products;Trade Value (US$ Thousand);0,429;1,109;10,489;26,287;0,792
Slovenia;Congo, Dem. Rep.;Import;  All Products;Trade Value (US$ Thousand);1708,211;940,442;962,542;447,587;680,661
Slovenia;Congo, Rep.;Import;  All Products;Trade Value (US$ Thousand);16,779;504,304;261,232;442,848;115,45
Slovenia;Cook Islands;Import;  All Products;Trade Value (US$ Thousand);0,007;47,855;;;0,159
Slovenia;Costa Rica;Import;  All Products;Trade Value (US$ Thousand);4777,663;6327,219;12484,688;10326,283;9944,302
Slovenia;Cote d'Ivoire;Import;  All Products;Trade Value (US$ Thousand);547,299;474,15;5880,409;14460,527;13346,881
Slovenia;Croatia;Import;  All Products;Trade Value (US$ Thousand);896354,689;1047104,035;1277740,501;1220089,531;1355576,32
Slovenia;Cuba;Import;  All Products;Trade Value (US$ Thousand);826,861;884,165;974,812;943,363;901,107
Slovenia;Curaçao;Import;  All Products;Trade Value (US$ Thousand);;;1,335;14,246;2,029
Slovenia;Cyprus;Import;  All Products;Trade Value (US$ Thousand);1620,871;1173,699;96247,944;14991,563;5937,372
Slovenia;Czech Republic;Import;  All Products;Trade Value (US$ Thousand);540988,88;633284,411;774406,721;655362,146;704265,028
Slovenia;Denmark;Import;  All Products;Trade Value (US$ Thousand);91394,917;77771,766;88476,165;80049,022;87523,882
Slovenia;Djibouti;Import;  All Products;Trade Value (US$ Thousand);6,491;0,039;;0,058;1,613
Slovenia;Dominica;Import;  All Products;Trade Value (US$ Thousand);0,919;0,414;0,55;3,946;13,455
Slovenia;Dominican Republic;Import;  All Products;Trade Value (US$ Thousand);1469,948;1161,754;1443,137;2238,46;2313,073
Slovenia;East Timor;Import;  All Products;Trade Value (US$ Thousand);25,162;19,639;0,633;0,377;10,655
Slovenia;Ecuador;Import;  All Products;Trade Value (US$ Thousand);38782,122;28750,914;37072,406;19542,84;28445,254
Slovenia;Egypt, Arab Rep.;Import;  All Products;Trade Value (US$ Thousand);18873,7;67885,926;24866,753;31562,638;52716,671
Slovenia;El Salvador;Import;  All Products;Trade Value (US$ Thousand);1123,697;393,937;349,157;115,73;89,563
Slovenia;Equatorial Guinea;Import;  All Products;Trade Value (US$ Thousand);0,092;;0,273;;
Slovenia;Eritrea;Import;  All Products;Trade Value (US$ Thousand);0,895;11,201;4,91;;
Slovenia;Estonia;Import;  All Products;Trade Value (US$ Thousand);6916,036;6496,823;8483,062;9901,436;10015,814
Slovenia;Ethiopia(excludes Eritrea);Import;  All Products;Trade Value (US$ Thousand);844,99;570,436;877,348;1013,325;703,193
Slovenia;Faeroe Islands;Import;  All Products;Trade Value (US$ Thousand);376,49;502,163;1934,066;0,14;125,657
Slovenia;Falkland Island;Import;  All Products;Trade Value (US$ Thousand);1640,299;2096,394;1731,805;2255,059;905,021
Slovenia;Fiji;Import;  All Products;Trade Value (US$ Thousand);73,382;36,013;47,85;35,337;71,796
Slovenia;Finland;Import;  All Products;Trade Value (US$ Thousand);97509,723;90214,09;124663,601;79909,736;77006,985
Slovenia;Fm Sudan;Import;  All Products;Trade Value (US$ Thousand);71,411;136,111;10,02;;
Slovenia;Fr. So. Ant. Tr;Import;  All Products;Trade Value (US$ Thousand);0,15;;0,114;0,528;4,556
Slovenia;France;Import;  All Products;Trade Value (US$ Thousand);1306583,95;1431802,377;1393414,885;1164717,529;1251700,596
Slovenia;French Polynesia;Import;  All Products;Trade Value (US$ Thousand);;0,402;5,145;4,041;4,784
Slovenia;Gabon;Import;  All Products;Trade Value (US$ Thousand);;17,281;2,248;8,262;70,667
Slovenia;Gambia, The;Import;  All Products;Trade Value (US$ Thousand);1,251;0,025;1,219;5,046;0,454
Slovenia;Georgia;Import;  All Products;Trade Value (US$ Thousand);46205,178;186,803;345,412;464,512;412,414
Slovenia;Germany;Import;  All Products;Trade Value (US$ Thousand);3957823,795;4273038,101;5051716,334;4591892,192;5023308,014
Slovenia;Ghana;Import;  All Products;Trade Value (US$ Thousand);167,882;357,272;333,165;146,028;349,229
Slovenia;Gibraltar;Import;  All Products;Trade Value (US$ Thousand);928,754;3,936;31,051;11,217;16,208
Slovenia;Greece;Import;  All Products;Trade Value (US$ Thousand);153996,705;105442,878;221237,438;155397,459;192650,579
Slovenia;Greenland;Import;  All Products;Trade Value (US$ Thousand);5,047;2,797;0,579;3,101;1,591
Slovenia;Grenada;Import;  All Products;Trade Value (US$ Thousand);2,19;1,216;8,366;1,173;13,339
Slovenia;Guam;Import;  All Products;Trade Value (US$ Thousand);1,776;6,775;23,595;0,041;1,1
Slovenia;Guatemala;Import;  All Products;Trade Value (US$ Thousand);205,924;274,053;1676,898;2050,127;1301,031
Slovenia;Guinea;Import;  All Products;Trade Value (US$ Thousand);6,597;21,212;17,434;4,381;0,108
Slovenia;Guinea-Bissau;Import;  All Products;Trade Value (US$ Thousand);;;1,418;1,49;100,787
Slovenia;Guyana;Import;  All Products;Trade Value (US$ Thousand);24,146;33,233;19,868;14,949;2035,683
Slovenia;Haiti;Import;  All Products;Trade Value (US$ Thousand);31,662;9,31;5,649;26,483;47,844
Slovenia;Heard Island and McDonald Isla;Import;  All Products;Trade Value (US$ Thousand);0,003;2,305;;1,168;2,13
Slovenia;Holy See;Import;  All Products;Trade Value (US$ Thousand);4,404;13,937;18,4;1,024;
Slovenia;Honduras;Import;  All Products;Trade Value (US$ Thousand);573,775;850,266;1337,423;1091,657;1195,349
Slovenia;Hong Kong, China;Import;  All Products;Trade Value (US$ Thousand);10679,106;11148,418;13365,103;8826,169;7690,988
Slovenia;Hungary;Import;  All Products;Trade Value (US$ Thousand);641426,886;757448,56;920182,938;871201,364;941940,169
Slovenia;Iceland;Import;  All Products;Trade Value (US$ Thousand);629,125;11773,057;3835,197;2464,287;1399,74
Slovenia;India;Import;  All Products;Trade Value (US$ Thousand);232499,423;274842,242;326242,873;308721,075;324105,527
Slovenia;Indonesia;Import;  All Products;Trade Value (US$ Thousand);100325,568;130212,803;139667,14;132700,719;95698,114
Slovenia;Iran, Islamic Rep.;Import;  All Products;Trade Value (US$ Thousand);8991,734;20537,09;45974,559;23120,477;2741,805
Slovenia;Iraq;Import;  All Products;Trade Value (US$ Thousand);92,174;0,456;26,051;0,085;9,327
Slovenia;Ireland;Import;  All Products;Trade Value (US$ Thousand);110180,442;94617,861;86522,053;80034,534;75673,066
Slovenia;Israel;Import;  All Products;Trade Value (US$ Thousand);35227,92;157999,085;36770,813;34385,207;35826,163
Slovenia;Italy;Import;  All Products;Trade Value (US$ Thousand);3744241,066;4155711,892;5157746,849;4913296,028;4487867,362
Slovenia;Jamaica;Import;  All Products;Trade Value (US$ Thousand);11,647;68,082;33031,792;40467,79;31607,811
Slovenia;Japan;Import;  All Products;Trade Value (US$ Thousand);269945,632;265577,862;274282,025;225814,839;277138,998
Slovenia;Jordan;Import;  All Products;Trade Value (US$ Thousand);193,934;588,073;584,216;114,834;556,947
Slovenia;Kazakhstan;Import;  All Products;Trade Value (US$ Thousand);6050,99;23325,96;23970,338;35341,594;16791,057
Slovenia;Kenya;Import;  All Products;Trade Value (US$ Thousand);174,998;169,126;600,342;319,546;291,842
Slovenia;Kiribati;Import;  All Products;Trade Value (US$ Thousand);0,113;0,015;2,695;0,902;115,33
Slovenia;Korea, Dem. Rep.;Import;  All Products;Trade Value (US$ Thousand);1952,61;2950,969;1386,614;1966,327;1667,553
Slovenia;Korea, Rep.;Import;  All Products;Trade Value (US$ Thousand);272739,693;304382,368;383935,56;502282,763;707625,948
Slovenia;Kuwait;Import;  All Products;Trade Value (US$ Thousand);18462,084;28565,705;34326,46;2948,707;2922,497
Slovenia;Kyrgyz Republic;Import;  All Products;Trade Value (US$ Thousand);46,742;133,336;276,213;205,849;293,966
Slovenia;Lao PDR;Import;  All Products;Trade Value (US$ Thousand);160,229;254,73;590,865;976,285;379,31
Slovenia;Latvia;Import;  All Products;Trade Value (US$ Thousand);2973,088;3386,578;4965,133;6019,884;12846,106
Slovenia;Lebanon;Import;  All Products;Trade Value (US$ Thousand);3974,239;3767,954;5457,154;4830,182;2787,22
Slovenia;Lesotho;Import;  All Products;Trade Value (US$ Thousand);;0,007;;29,605;78,486
Slovenia;Liberia;Import;  All Products;Trade Value (US$ Thousand);4717,237;6660,019;11000,903;2293,847;
Slovenia;Libya;Import;  All Products;Trade Value (US$ Thousand);59946,896;34754,344;263,463;105,229;13339,539
Slovenia;Lithuania;Import;  All Products;Trade Value (US$ Thousand);41907,664;8913,142;11672,202;15525,779;43613,05
Slovenia;Luxembourg;Import;  All Products;Trade Value (US$ Thousand);54760,626;72112,517;73196,846;78308,33;66044,098
Slovenia;Macao;Import;  All Products;Trade Value (US$ Thousand);3586,808;1061,063;2837,101;1543,852;877,161
Slovenia;Macedonia, FYR;Import;  All Products;Trade Value (US$ Thousand);34703,59;43417,45;55367,654;45188,511;64833,714
Slovenia;Madagascar;Import;  All Products;Trade Value (US$ Thousand);273,075;271,309;344,139;360,839;1722,639
Slovenia;Malawi;Import;  All Products;Trade Value (US$ Thousand);0,917;33,212;3,618;2,852;2,85
Slovenia;Malaysia;Import;  All Products;Trade Value (US$ Thousand);56366,078;62232,376;66198,173;47737,101;43337,368
Slovenia;Maldives;Import;  All Products;Trade Value (US$ Thousand);5,56;8,327;5,085;7,532;12,573
Slovenia;Mali;Import;  All Products;Trade Value (US$ Thousand);13,037;128,774;31,324;7,573;21,238
Slovenia;Malta;Import;  All Products;Trade Value (US$ Thousand);2522,629;2776,026;3022,146;1555,621;17185,892
Slovenia;Marshall Islands;Import;  All Products;Trade Value (US$ Thousand);0,795;0,845;0,145;0,058;2,367
Slovenia;Mauritania;Import;  All Products;Trade Value (US$ Thousand);5,748;5,212;5,522;4,311;1,259
Slovenia;Mauritius;Import;  All Products;Trade Value (US$ Thousand);2920,843;2550,36;2614,222;2152,438;2694,708
Slovenia;Mayotte;Import;  All Products;Trade Value (US$ Thousand);;;0,602;0,385;
Slovenia;Mexico;Import;  All Products;Trade Value (US$ Thousand);26489,736;33408,377;42239,551;43430,435;39973,965
Slovenia;Micronesia, Fed. Sts.;Import;  All Products;Trade Value (US$ Thousand);;;0,156;;
Slovenia;Moldova;Import;  All Products;Trade Value (US$ Thousand);2723,621;2131,701;2781,788;3160,658;1900,197
Slovenia;Mongolia;Import;  All Products;Trade Value (US$ Thousand);9,633;10,226;3,561;99,406;6,17
Slovenia;Montenegro;Import;  All Products;Trade Value (US$ Thousand);24682,608;35199,405;37441,385;35056,351;28639,481
Slovenia;Montserrat;Import;  All Products;Trade Value (US$ Thousand);0,066;231,897;0,018;0,004;0,011
Slovenia;Morocco;Import;  All Products;Trade Value (US$ Thousand);16758,487;17170,983;16152,964;15229,791;18953,706
Slovenia;Mozambique;Import;  All Products;Trade Value (US$ Thousand);24454,763;65330,267;72938,06;70669,287;59344,614
Slovenia;Myanmar;Import;  All Products;Trade Value (US$ Thousand);775,872;486,271;541,577;334,153;593,094
Slovenia;Namibia;Import;  All Products;Trade Value (US$ Thousand);207,92;651,983;142,844;186,359;145,971
Slovenia;Nauru;Import;  All Products;Trade Value (US$ Thousand);9,212;10,65;87,151;89,658;35,417
Slovenia;Nepal;Import;  All Products;Trade Value (US$ Thousand);318,744;352,431;150,612;257,426;357,723
